Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP?,Qual seu município de residência?,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual sua faixa de renda?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal para estudos?,Você possui dificuldades com o uso da tecnologia?,Como você se alimenta na FMP?,Você pratica alguma atividade física?,"Atividade física. Se sim, qual?",Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual",Você segue a FMP no Facebook?,Você segue a FMP no Instagram?,Qual meio de comunicação você mais usa para se informar?
4/15/2024 18:35:31,Trabalho,Palhoça,Pedra Branca,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 46 e 50 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,Jornalismo,Não,,Sim,Não,Funcionário(a) Público(a),6 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,"Carro, Aplicativo de transporte",Sim,Sim,Não,Não me alimento na FMP,Sim,"vôlei, academia",Não,,Não,Sim,Jornais/revistas
4/10/2024 8:10:05,Pesquisei na Internet,Florianópolis,,2023/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,cosmetologia e estetica,Sim,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,Ônibus,Sim,Sim,Não,nao me alimento na fmp,Não,nao pratico,Sim,moro na ilha de Florianópolis é muito longe e trabalho la entao acabo tendo que sair bem cedo todo dia da aula,Não,Sim,Jornais/revistas
4/10/2024 8:59:07,Amigos/familiares,Palhoça,São Sebastião,2022/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,"A pé, Carro, Ônibus",Sim,Sim,Não,Prefiro ficar sem comer do que pagar comida cara.,Não,Parkour invertido,Não,,Não,Não,Rádio
4/10/2024 8:11:09,Amigos/familiares,Palhoça,Rio Grande,2023/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 22 e 26 anos,Preta,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,academia e vôlei,Não,,Não,Não,Rádio
4/10/2024 19:43:30,Redes Sociais (Facebook/Instagram),Palhoça,Pachecos,2021/01,Administração,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Não,,Não,Sim,"Rádio, Redes Sociais"
4/10/2024 8:26:22,Pesquisei na Internet,Palhoça,Aririú,2021/01,Administração,Entre 40 e 45 anos,Branca,Masculino,Não,,Escola pública,Pós Graduação,Educação Física,Não,,Sim,Sim,Colaborador(a) de empresa privada,9 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Musculação,Não,,Não,Sim,"Rádio, Redes Sociais, Jornais/revistas"
4/10/2024 16:49:55,Amigos/familiares,Palhoça,Bela Vista,2022/01,Pedagogia,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Não,Não,Do lar,0,Prefiro não responder,Moro com a família em residência própria,"Carro, Moto",Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Não,Não,,Não,Sim,"Rádio, Redes Sociais, Jornais/revistas"
4/11/2024 11:11:58,Amigos/familiares,Palhoça,Aririú,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 34 e 39 anos,Parda,Masculino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Autônomo(a),12 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Nao me alimento aqui, é muito caro!",Não,,Não,,Não,Não,"Rádio, Televisão, Redes Sociais"
4/16/2024 15:18:22,Amigos/familiares,Palhoça,Bela Vista,2022/01,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,MUSEOLOGIA,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,,Não,,Não,Sim,"Rádio, Televisão, Redes Sociais, Jornais/revistas"
4/10/2024 8:59:36,Amigos/familiares,Palhoça,Ponte do Imaruim,2022/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,A pé,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,c,Sim,,Não,Não,"Rádio, Televisão, Whatsapp"
4/10/2024 10:41:00,Redes Sociais (Facebook/Instagram),Palhoça,Ponte do Imaruim,2024/01,Pedagogia,Entre 27 e 33 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,A pé,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,Nao,Não,,Sim,Sim,"Rádio, Televisão, Whatsapp, Redes Sociais"
4/10/2024 8:17:50,Amigos/familiares,São José,Picadas do Sul ,2024/01,Administração,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,"Quando possível, jogo bola ",Não,,Não,Sim,"Rádio, Televisão, Whatsapp, Redes Sociais"
4/10/2024 19:37:32,Pesquisei na Internet,Palhoça,Aririú,2021/01,Administração,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,As vezes trago as vezes compro na cantina ,Sim,Academia ,Sim,Tempo ,Não,Sim,"Rádio, Televisão, Whatsapp, Redes Sociais"
4/10/2024 20:12:56,Pesquisei na Internet,Palhoça,Bela Vista,2023/01,Administração,Entre 40 e 45 anos,Branca,Masculino,Sim,2,Escola pública,Superior Completo,Gestão comercial ,Não,,Sim,Não,MEI (Microempreendedor individual),indefinido,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,Geralmente não me alimento no horário da faculdade.,Sim,Academia ,Não,,Não,Sim,"Rádio, Televisão, Whatsapp, Redes Sociais"
4/10/2024 15:06:18,"Moro no mesmo bairro, portanto circulando no bairro conhece a FMP ",Palhoça,Ponte do Imaruim,2021/02,Pedagogia,Entre 40 e 45 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Estagiário(a),6 horas,Prefiro não responder,Moro com a família em residência própria,"A pé, Carro",Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Caminhada e ando de bicicleta ,Não,,Não,Sim,"Rádio, Televisão, Whatsapp, Redes Sociais, Jornais/revistas"
4/10/2024 8:34:53,E-mail ,São José,,2023/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 27 e 33 anos,Preta,Masculino,Não,,Escola particular,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,4 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,"A pé, Bicicleta, Carro, Moto, Ônibus",Sim,Sim,Não,Não alimento na FMP por causa da condição financeira ,Sim,Futebol ,Sim,Condições financeiras de transporte ,Não,Sim,"Rádio, Televisão, Whatsapp, Youtube, Redes Sociais"
4/10/2024 12:17:52,Redes Sociais (Facebook/Instagram),Palhoça,Bela Vista,2020/01,Administração,Entre 22 e 26 anos,Parda,Feminino,Sim,1,Escola pública,Superior Completo,Processos gerência ,Sim,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Musculação ,Não,,Sim,Sim,"Rádio, Televisão, Whatsapp, Youtube, Redes Sociais"
4/12/2024 19:28:14,Pesquisei na Internet,Palhoça,Ponte do Imaruim,2019/01,Administração,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,A pé,Sim,Não,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,cross fit,Não,,Sim,Sim,"Rádio, Televisão, Whatsapp, Youtube, Redes Sociais, Jornais/revistas"
4/10/2024 8:18:40,Amigos/familiares,Palhoça,Ponte do Imaruim,2022/02,Pedagogia,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,,Não,,Sim,Não,Autônomo(a),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"A pé, Carro",Sim,Sim,Não,Não se alimenta na faculdade ,Não,Nenhuma,Sim,Relacionamento professores-alunos,Não,Sim,"Rádio, Televisão, Whatsapp, Youtube, Redes Sociais, Jornais/revistas"
4/10/2024 12:09:32,Amigos/familiares,Palhoça,Alto Aririú,2023/02,Pedagogia,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,Ciências Contábeis ,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,musculação e aeróbico,Não,,Não,Sim,"Rádio, Televisão, Youtube, Redes Sociais"
4/9/2024 22:14:38,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/01,Pós Graduação em Gestão Escolar,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,"Graduação em Licenciatura em Química, Mestrado e Doutorado em Educação Científica e Tecnológica",Não,,Sim,Sim,Funcionário(a) Público(a),8 horas,De 4 a 6 salários mínimos,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Academia 4x na semana,Não,,Não,Sim,"Rádio, Televisão, Youtube, Redes Sociais, Jornais/revistas"
4/10/2024 22:28:49,Site da FMP,Palhoça,Pagani,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 40 e 45 anos,Branca,Masculino,Sim,3,Escola pública,Pós Graduação,Ciências Contábeis ,Não,,Sim,Não,Funcionário(a) Público(a),8 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,"Bicicleta, Carro",Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,"Corrida, futebol ",Não,,Não,Não,"Rádio, Whatsapp"
4/10/2024 18:45:34,Amigos/familiares,Palhoça,Alto Aririú,2020/02,Pedagogia,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Sim,"possuo CIDF10 G-40, epilepsia generalizada, estimulada por fotosenssibilidade, privação de sono e ciclo menstrual(catamenial).",Sim,Sim,Colaborador(a) de empresa privada,6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Sim,as vezes me alimento as vezes não.,Não,.,Sim,,Sim,Sim,"Rádio, Whatsapp"
4/10/2024 19:23:00,Amigos/familiares,Palhoça,Ponte do Imaruim,2020/02,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,"Academia, pedalada e caminhada ",Não,,Não,Sim,"Rádio, Whatsapp"
4/10/2024 19:05:39,Pesquisei na Internet,Palhoça,Bela Vista,2024/01,Pedagogia,Entre 22 e 26 anos,Preta,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,Carro,Sim,Não,Não,Não me alimento na FMP ,Não,Não realizo atividade física ,Não,,Não,Sim,"Rádio, Whatsapp, Redes Sociais"
4/10/2024 8:45:21,Amigos/familiares,São José,,2021/01,Administração,Entre 46 e 50 anos,Parda,Masculino,Sim,3,Escola particular,Ensino Médio,,Sim,,Sim,Sim,Autônomo(a),11 horas,Prefiro não responder,Moro com a família em residência própria,"Carro, Moto",Sim,Sim,Sim,As vezes.,Não,Até o momento não.,Não,,Sim,Sim,"Rádio, Whatsapp, Redes Sociais"
4/10/2024 19:08:43,Amigos/familiares,Palhoça,Guarda do Cubatão,2022/02,Administração,Entre 34 e 39 anos,Branca,Feminino,Sim,3,Escola pública,Ensino Médio,,Não,,Não,Não,Autônomo(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Caminhada ,Não,,Sim,Sim,"Rádio, Whatsapp, Redes Sociais"
4/10/2024 10:24:11,Amigos/familiares,Palhoça,Guarda do Cubatão,2021/01,Pedagogia,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,"Ônibus, Aplicativo de transporte",Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Caminhada,Não,,Não,Sim,"Rádio, Whatsapp, Redes Sociais"
4/10/2024 8:10:03,Amigos/familiares,São José,,2024/01,Tecnólogo em Processos Gerenciais,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,"Carro, Moto",Sim,Não,Sim,"Normalmente, utiliza a cantina da instituição",Não,Nao,Não,,Não,Sim,"Rádio, Whatsapp, Youtube, Redes Sociais"
4/10/2024 14:16:50,Amigos/familiares,Palhoça,Bela Vista,2024/01,Pós Graduação em Gestão Escolar,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,Técnico em Segurança do Trabalho,Não,,Sim,Não,Funcionário(a) Público(a),8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,"Carro, Moto, Aplicativo de transporte",Sim,Não,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,Academia,Não,,Não,Sim,"Rádio, Whatsapp, Youtube, Redes Sociais"
4/9/2024 22:19:12,Pesquisei na Internet,Palhoça,Ponte do Imaruim,2022/01,Administração,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,Ciências contábeis ,Não,,Sim,Não,Funcionário(a) Público(a),6 horas,Mais de 6 salários mínimos,Moro sozinho/a em residência própria,A pé,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nenhuma,Não,,Não,Sim,"Rádio, Youtube"
4/10/2024 19:10:44,Amigos/familiares,Palhoça,Brejarú,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,A pé,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Sim,caminhada,Não,,Não,Sim,Redes Sociais
4/10/2024 9:47:18,Amigos/familiares,Palhoça,Ponte do Imaruim,2021/01,Administração,Entre 34 e 39 anos,Preta,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,7 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,A pé,Sim,Sim,Sim,as vezes cantina ou nem como,Sim,musculação,Não,,Não,Sim,Redes Sociais
4/10/2024 19:08:52,Amigos/familiares,Palhoça,Ponte do Imaruim,2022/02,Administração,Entre 27 e 33 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,A pé,Sim,Sim,Não,Não me alimento na instituição.,Não,. ,Não,,Não,Não,Redes Sociais
4/10/2024 8:31:21,Amigos/familiares,Palhoça,Ponte do Imaruim,2020/02,Administração,Entre 51 e 55 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Sim,MEI (Microempreendedor individual),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,A pé,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Não pratico ,Não,Não tenho dificuldade ,Sim,Sim,Redes Sociais
4/10/2024 8:57:11,Amigos/familiares,Palhoça,Ponte do Imaruim,2022/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,A pé,Sim,Sim,Não,"Não me alimento, a cantina é um roubo.",Não,Não.,Não,,Não,Sim,Redes Sociais
4/11/2024 6:21:34,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Prefiro não responder,Moro com a família em residência própria,A pé,Sim,Sim,Não,não como nada,Não,,Não,,Não,Não,Redes Sociais
4/10/2024 10:12:14,Amigos/familiares,Palhoça,Ponte do Imaruim,2023/01,Pedagogia,Entre 27 e 33 anos,Preta,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Prefiro não responder,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,A pé,Sim,Não,Sim,Nunca levei lanche ,Não,Não prático atividades físicas ,Sim,Tecnologia ,Não,Sim,Redes Sociais
