Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP? ,Município de residência,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual sua nacionalidade?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.","Algum de seus pais ou responsável possui ensino superior completo? Se sim, quem? ",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual renda per capita familiar?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal?,Você enfrenta dificuldades no uso de tecnologias digitais aplicadas ao seu curso de graduação?  ,Você pratica alguma atividade física?,Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual?",Você segue a FMP nas redes sociais?,Qual meio de comunicação você mais usa para se informar?
03/10/2025 12:06:02,"Amigos/familiares, Outros",Palhoça,Pedra Branca,2023/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Não,,Escola particular,Pós Graduação,,"Sim, o pai",Não,,Sim,Sim,Autônomo(a),8 horas,Prefiro não responder,Moro sozinho/a em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais"
03/10/2025 19:31:34,"Redes sociais, Amigos/familiares, Sites da FMP",Palhoça,Praia de Fora,2021/01,Pedagogia,Brasileira,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Pós Graduação,PG,"Sim, a mãe",Não,,Sim,Sim,MEI (Microempreendedor individual),indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Não,Não,Sim,Não,,Não,"Jornais/revistas, Whatsapp, Youtube"
03/10/2025 19:31:56,Amigos/familiares,Palhoça,Praia de Fora,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Sim,Estagiário(a),6 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp"
03/10/2025 19:32:37,Redes sociais,Palhoça,Bela Vista,2022/01,Administração,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola particular,Ensino Médio,,"Sim, ambos",Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
03/10/2025 19:34:17,Amigos/familiares,Palhoça,São Sebastião,2024/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 16 e 21 anos,Parda,Masculino,Não,,Escola pública,Ensino Médio,Nao,Não,Não,Nao,Sim,Sim,Estagiário(a),4 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,Nao,Sim,"Redes Sociais, Whatsapp, Youtube"
03/10/2025 19:34:58,Amigos/familiares,Palhoça,Guarda do Cubatão,2025/01,Pós Graduação em Gestão Escolar,Brasileira,Entre 27 e 33 anos,Branca,Feminino,Sim,2,Escola pública,Pós Graduação,,Não,Não,,Sim,Sim,Funcionário(a) Público(a),4 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,Sim,Não,,Sim,"Rádio, Redes Sociais, Televisão, Whatsapp"
03/10/2025 19:35:30,Amigos/familiares,Palhoça,Bela Vista,2023/01,Pedagogia,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola particular,Ensino Médio,,"Sim, ambos",Não,,Sim,Sim,Colaborador(a) de empresa privada,6 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Não,Não,Sim,,Sim,"Redes Sociais, Whatsapp"
03/10/2025 19:38:18,Redes sociais,Palhoça,Centro,2023/01,Pedagogia,Brasileira,Entre 46 e 50 anos,Branca,Feminino,Não,,De forma mista,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Televisão"
03/10/2025 19:42:06,"Redes sociais, Amigos/familiares",Palhoça,São Sebastião,2023/01,Pedagogia,Brasileira,Entre 27 e 33 anos,Prefiro não declarar,Prefiro não declarar,Sim,2,De forma mista,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Não,Sim,Tempo ,Sim,"Redes Sociais, Whatsapp"
03/10/2025 19:43:31,Redes sociais,Palhoça,Barra do Aririú,2025/02,Pedagogia,Brasileira,Entre 27 e 33 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,Não ,Não,Não,Não ,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Moto",Sim,Sim,Não,Não,Não,Não ,Sim,"Redes Sociais, Whatsapp"
